,latitude,longitude
164.0,32.462,-110.9679
164.0,32.3843,-110.9688
164.0,32.4415,-111.0783
164.0,32.496,-111.2682
164.0,32.3758,-111.0205
164.0,32.3069,-111.0981
164.0,32.2277,-110.7355
1541.0,32.8367,-110.7021
164.0,32.5304,-110.8593
1541.0,32.7033,-110.6408
1541.0,32.6058,-110.7894
164.0,32.5187,-110.9023
164.0,32.5454,-111.1951
164.0,32.5372,-110.8828
164.0,32.5863,-110.9193
164.0,32.526,-110.8862
1841.0,31.6698,-110.6365
1841.0,31.6754,-110.9516
1841.0,31.6171,-111.0563
1841.0,31.5883,-111.0876
1841.0,31.6019,-111.0458
421.0,34.8611,-111.808
421.0,35.1652,-112.5315
421.0,34.7287,-111.97
421.0,34.7231,-112.0238
421.0,34.8589,-111.7839
421.0,34.7973,-111.9
421.0,34.8559,-112.4517
421.0,34.8561,-111.8193
421.0,34.7328,-112.0468
421.0,34.8601,-112.4779
421.0,34.7767,-111.9069
421.0,34.7112,-111.977
1849.0,47.4192,-110.9575
1849.0,46.9224,-110.7241
1849.0,47.5851,-110.789
890.0,36.0797,-115.3112
157.0,41.4565,-112.0336
157.0,40.9874,-111.9286
157.0,41.0774,-111.9221
157.0,40.8676,-111.9181
157.0,40.8693,-111.852
157.0,40.9046,-111.8657
157.0,40.9346,-111.8761
157.0,41.1329,-111.9285
157.0,40.8572,-111.867
157.0,41.0078,-111.9067
157.0,41.0477,-111.9068
157.0,40.915,-111.8981
157.0,41.033,-111.673
157.0,41.1848,-112.0901
157.0,41.2435,-112.0637
157.0,41.1549,-111.9485
157.0,41.3002,-111.8253
157.0,41.1682,-111.9364
157.0,41.1555,-111.9429
157.0,41.1772,-112.0384
157.0,41.1937,-112.0266
157.0,41.2511,-111.9417
157.0,41.2939,-111.958
157.0,41.3103,-111.6487
1233.0,38.3943,-111.5911
1841.0,31.9792,-111.3836
164.0,31.9,-110.25
421.0,35.1989,-112.4886
421.0,35.2833,-112.4667
421.0,35.2667,-112.6667
421.0,35.2167,-112.4833
421.0,35.2033,-111.8222
164.0,31.8806,-110.2403
164.0,32.3222,-110.4147
164.0,32.4178,-110.9303
164.0,32.2844,-110.7314
421.0,35.1611,-111.7311
421.0,35.2681,-111.7428
1841.0,31.8931,-110.9978
421.0,34.7522,-112.1114
421.0,34.9667,-111.75
1841.0,31.9603,-111.5978
164.0,32.4489,-110.7539
164.0,32.4486,-110.7803
421.0,34.9364,-111.6392
164.0,32.1167,-110.6833
421.0,34.96,-111.7553
1541.0,32.61,-110.7317
1541.0,32.6025,-110.7344
164.0,32.4167,-110.7167
164.0,32.3903,-110.4667
1841.0,31.9167,-111.0833
164.0,32.3111,-110.8186
164.0,32.1794,-110.7364
1841.0,31.9,-111.0667
1541.0,32.6014,-110.6339
1841.0,31.7625,-110.8464
421.0,34.8956,-111.7644
421.0,35.3322,-112.8797
1841.0,31.6811,-110.6553
1841.0,32.0139,-111.2639
164.0,32.3392,-110.9808
